LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,rangeArticle,range_written_singular,range_written_plural
Frau_von,noun,feminine,Frau,Frauen,Frau,Frau,Frau,von,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
Hauptstadt_von,noun,feminine,Hauptstadt,-,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,neuter,Land,LÑnder,feminine,Stadt,-
BÅrgermeister_von_2,noun,masculine,BÅrgermeister,-,BÅrgermeister,BÅrgermeister,BÅrgermeisters,von,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,feminine,Stadt,StÑdte,feminine,Person,Personen
tocher_von,noun,feminine,Tochter,Tîchter,Tochter,Tochter,Tochter,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
Staatsangehîrigkeit_of,noun,feminine,Staatsangehîrigkeit,Staatsangehîrigkeit,Staatsangehîrigkeit,Staatsangehîrigkeit,Staatsangehîrigkeit,von,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,masculine,Person,Personen,neuter,Land,LÑnder
Elternteil_of,noun,masculine,Elternteil,Elternteile,Elternteil,Elternteil,Elternteiles,von,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,feminine,dbo:Person,Personen,masculine,Person,Personen
Partei-von,noun,feminine,Partei,Parteien,Partei,Partei,Partei,von,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,masculine,Politiker,Politiker,-,-,-
tocher_von,noun,feminine,Tochter,Tîchter,Tochter,Tochter,Tochter,von,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,masculine,Person,Personen,masculine,Person,Personen
Schîpfer_von,noun,masculine,Schîpfer,Schîpfer,Schîpfer,Schîpfer,Schîpfer,von,NounPPFrame,range,domain,1,dbo:creator,dbo:FictionalCharacter,dbo:Person,masculine,"erfundener Charakter
",Erfundener Charakter,masculine,Person,Personen
HeimStadion_of ,noun,neuter,HeimStadion,HeimStadien,HeimStadion,HeimStadion,HeimStadion,von,NounPPFrame,range,domain,1,dbo:ground,dbo:SportsClub,dbo:Stadium,masculine,Sportclub,Sportclubs,neuter,Stadion,Stadien
